#doc=loveyourself.2.txt;;;;;;;;;;;;;;
14;иногда;ИНОГДА;ADV -;;;а;д;г;о;н;и;ADV;ИНОГДА;ADV -
15;о;О;PR;;;о;;;;;;PR;О;PR
16;чем-то;ЧТО-ТО; SPRO - ins sg;;;о;т;;м;е;ч;S;ЧТО-ТО;S n - ins sg
17;таком;ТАКОЙ;APPRO - loc sg  m -;;;м;о;к;а;т;;A;ТАКОЙ;A - loc sg plen m -
18;немыслимом;НЕМЫСЛИМЫЙ;A - loc sg plen m -;;;м;о;м;и;л;с;A;НЕМЫСЛИМЫЙ;A - loc sg plen m -
19;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
20;class;CLASS;NONLEX;;;;;;;;;NONLEX;CLASS;NONLEX
21;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
22;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
23;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
24;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
25;note;NOTE;NONLEX;;;;;;;;;NONLEX;NOTE;NONLEX
26;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
27;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
28;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Смех;СМЕХ;-;;;х;е;м;с;;;S;СМЕХ;S m inan nom sg
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;span;SPAN;NONLEX;;;;;;;;;NONLEX;SPAN;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;как;КАК;CONJ;;;к;а;к;;;;CONJ;КАК;CONJ
2;нам;МЫ;SPRO pl 1p - dat;;;м;а;н;;;;SPRO;МЫ;SPRO pl 1p - dat
3;кажется;КАЗАТЬСЯ;V ipf praes sg indic - 3p;;;я;с;т;е;ж;а;V;КАЗАТЬСЯ;V ipf praes sg indic - 3p
4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
5;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
6;вообще;ВООБЩЕ;ADV -;;;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -
7;невозможно;НЕВОЗМОЖНЫЙ;A - - sg brev n -;;;о;н;ж;о;м;з;A;НЕВОЗМОЖНЫЙ;A - - sg brev n -
8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
9;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
10;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
11;сами;САМ;APPRO - nom pl plen - -;;;и;м;а;с;;;A;САМ;A - nom pl plen - -
12;же;ЖЕ;PART;;;е;ж;;;;;PART;ЖЕ;PART
13;ээ..;Э;NONLEX;раздельно с многоточием;;;;э;э;;;NONLEX;ЭЭ..;NONLEX
14;ставим;СТАВИТЬ;V ipf praes pl indic - 1p;;;м;и;в;а;т;с;V;СТАВИТЬ;V ipf praes pl indic - 1p
15;эти;ЭТОТ;APPRO - acc pl plen - inan;;;и;т;э;;;;A;ЭТОТ;A - acc pl plen - inan
16;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
17;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
18;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
19;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
20;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
21;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
22;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
23;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
24;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
25;ррррамки;РАМКА;S f inan nom pl;DISTORT;;и;к;м;а;р;р;S;РРРРАМОК;S m inan nom sg
26;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
27;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
28;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;рамки;РАМКА;S f inan nom pl;;;и;к;м;а;р;;S;РАМКА;S f inan nom pl
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Диана;ДИАНА;S f anim nom sg;;;а;н;а;и;д;;S;ДИАНА;S f anim nom sg
2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
3;Мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
4;в;В;PR;;;в;;;;;;PR;В;PR
5;своем;СВОЙ;APPRO - loc sg  n -;;;м;е;о;в;с;;A;СВОЙ;A - loc sg plen n -
6;представлении;ПРЕДСТАВЛЕНИЕ;S n inan loc sg;;;и;и;н;е;л;в;S;ПРЕДСТАВЛЕНИЕ;S n inan loc sg
7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
8;то есть;то есть;ZERO;;;ь;т;с;е;;о;-;то есть;-
9;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
10;с;С;PR;;;с;;;;;;PR;С;PR
11;вами;ВЫ;SPRO pl 2p - ins;;;и;м;а;в;;;SPRO;ВЫ;SPRO pl 2p - ins
12;даем;ДАВАТЬ;V ipf praes pl indic - 1p;;;м;е;а;д;;;V;ДАВАТЬ;V ipf praes pl indic - 1p
13;оценку;ОЦЕНКА;S f inan acc sg;;;у;к;н;е;ц;о;S;ОЦЕНКА;S f inan acc sg
14;тому;ТО;APPRO n - dat sg inan;;;у;м;о;т;;;S;ТО;S n - dat sg
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
17;возможно;ВОЗМОЖНО;A - - sg brev n -;;;о;н;ж;о;м;з;ADV;ВОЗМОЖНО;ADV -
18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
19;тому;ТО;APPRO n - dat sg inan;;;у;м;о;т;;;S;ТО;S n inan dat sg
20;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
21;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
22;невозможно;НЕВОЗМОЖНО;A - - sg brev n -;;;о;н;ж;о;м;з;ADV;НЕВОЗМОЖНО;ADV -
23;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
24;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
25;на;НА;PR;;;а;н;;;;;PR;НА;PR
26;самом;САМЫЙ;APPRO - loc sg plen n -;;;м;о;м;а;с;;A;САМЫЙ;A - loc sg plen n -
27;деле;ДЕЛО;S n inan loc sg;;;е;л;е;д;;;S;ДЕЛО;S n inan loc sg
28;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
29;все;ВCE;SPRO - - acc ;;;е;с;в;;;;S;ВСЕ;S - - acc pl
30;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
31;о;О;PR;;;о;;;;;;PR;О;PR
32;чем;ЧЕМ;SPRO loc ;;;м;е;ч;;;;CONJ;ЧЕМ;CONJ
33;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
34;задумываемся;ЗАДУМЫВАТЬСЯ;V ipf praes pl indic - 1p;;;я;с;м;е;а;в;V;ЗАДУМЫВАТЬСЯ;V ipf praes pl indic - 1p
35;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36;все;ВCE;SPRO - - acc ;;;е;с;в;;;;S;ВСЕ;S - - acc pl
37;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
38;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
39;желаем;ЖЕЛАТЬ;V ipf praes pl indic - 1p;;;м;е;а;л;е;ж;V;ЖЕЛАТЬ;V ipf praes pl indic - 1p
40;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
41;можем;МОЧЬ;V ipf praes pl indic - 1p;;;м;е;ж;о;м;;V;МОЧЬ;V ipf praes pl indic - 1p
42;достичь;ДОСТИГНУТЬ;V pf - - inf - -;;;ь;ч;и;т;с;о;V;ДОСТИГНУТЬ;V pf - - inf - -
43;сами;САМ;APPRO - nom pl plen - -;;;и;м;а;с;;;A;САМ;A - nom pl plen - -
44;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
45;просто;ПРОСТО;PART -;;;о;т;с;о;р;п;ADV;ПРОСТО;ADV -
46;для;ДЛЯ;PR;;;я;л;д;;;;PR;ДЛЯ;PR
47;этого;ЭТО;APPRO n - gen sg;;;о;г;о;т;э;;S;ЭТО;S n - gen sg
48;нужно;НУЖНО;PRAEDIC;;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
49;приложить;ПРИЛОЖИТЬ;V pf - - inf - -;;;ь;т;и;ж;о;л;V;ПРИЛОЖИТЬ;V pf - - inf - -
50;силы;СИЛА;S f inan acc pl;;;ы;л;и;с;;;S;СИЛА;S f inan acc pl
51;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
52;как минимум;как минимум;-;раздельно;;м;у;м;и;н;и;-;как минимум;-
53;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
54;инициативы;ИНИЦИАТИВА;S f inan acc pl;;;ы;в;и;т;а;и;S;ИНИЦИАТИВА;S f inan gen sg
55;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
56;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
57;нужно;НУЖНО;PRAEDIC;;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
58;уметь;УМЕТЬ;V ipf - - inf - -;;;ь;т;е;м;у;;V;УМЕТЬ;V ipf - - inf - -
59;принимать;ПРИНИМАТЬ;V ipf - - inf - -;;;ь;т;а;м;и;н;V;ПРИНИМАТЬ;V ipf - - inf - -
60;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
61;ээ;Э;NONLEX;;;э;э;;;;;NONLEX;ЭЭ;NONLEX
62;…;…;SENT;;;;;;;;;SENT;…;SENT
;;;;;;;;;;;;;;
1;принимать;ПРИНИМАТЬ;V ipf - - inf - -;;;ь;т;а;м;и;н;V;ПРИНИМАТЬ;V ipf - - inf - -
2;проигрыши;ПРОИГРЫШ;S m inan acc pl;;;и;ш;ы;р;г;и;S;ПРОИГРЫШ;S m inan nom pl
3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
4;нужно;НУЖНО;PRAEDIC;;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
5;понимать;ПОНИМАТЬ;V ipf - - inf - -;;;ь;т;а;м;и;н;V;ПОНИМАТЬ;V ipf - - inf - -
6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
7;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
8;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
9;всё;ВСЕ;SPRO nom;;;ё;с;в;;;;ADV;ВСЕ;ADV -
10;всегда;ВСЕГДА;ADV -;;;а;д;г;е;с;в;ADV;ВСЕГДА;ADV -
11;будет;БЫТЬ;V ipf fut sg indic - 3p;;;т;е;д;у;б;;V;БЫТЬ;V ipf praes sg indic - 3p
12;гладко;ГЛАДКО;ADV -;;;о;к;д;а;л;г;ADV;ГЛАДКО;ADV -
13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
14;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
15;class;CLASS;NONLEX;;;;;;;;;NONLEX;CLASS;NONLEX
16;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
17;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
18;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
19;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
20;note;NOTE;NONLEX;;;;;;;;;NONLEX;NOTE;NONLEX
21;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
22;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
23;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Смех;СМЕХ;-;;;х;е;м;с;;;S;СМЕХ;S m inan nom sg
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;span;SPAN;NONLEX;;;;;;;;;NONLEX;SPAN;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;ээ..;Э;NONLEX;раздельно с многоточием;;;;э;э;;;NONLEX;ЭЭ..;NONLEX
2;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
3;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
4;будешь;БЫТЬ;V ipf fut sg indic - 2p;;;ь;ш;е;д;у;б;V;БЫТЬ;V ipf praes sg indic - 2p
5;всегда;ВСЕГДА;ADV -;;;а;д;г;е;с;в;ADV;ВСЕГДА;ADV -
6;побеждать;ПОБЕЖДАТЬ;V ipf - - inf - -;;;ь;т;а;д;ж;е;V;ПОБЕЖДАТЬ;V ipf - - inf - -
7;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
8;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
9;всё;ВСЕ;SPRO n - nom sg;;;ё;с;в;;;;S;ВСЕ;S n - nom sg
10;очень;ОЧЕНЬ;ADV -;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
11;быстро;БЫСТРО;ADV -;;;о;р;т;с;ы;б;ADV;БЫСТРО;ADV -
12;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
13;легко;ЛЕГКО;ADV -;;;о;к;г;е;л;;ADV;ЛЕГКО;ADV -
14;дается;ДАВАТЬСЯ;V ipf praes sg indic - 3p;;;я;с;т;е;а;д;V;ДАВАТЬСЯ;V ipf praes sg indic - 3p
15;в;В;PR;;;в;;;;;;PR;В;PR
16;этой;ЭТОТ;APPRO - loc sg plen f -;;;й;о;т;э;;;A;ЭТОТ;A - loc sg plen f -
17;жизни;ЖИЗНЬ;S f inan loc sg;;;и;н;з;и;ж;;S;ЖИЗНЬ;S f inan loc sg
18;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Диана;ДИАНА;S f anim nom sg;;;а;н;а;и;д;;S;ДИАНА;S f anim nom sg
2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
7;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
8;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
11;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
12;потомушо;ПОТОМУ ЧТО;ADV -;distort, я думаю тут ZERO;;о;ш;у;м;о;т;ADV;ПОТОМУШО;ADV -
13;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
14;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
15;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;потому что;потому что;ZERO;;;о;т;ч;;у;м;ZERO;потому что;ZERO
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
2;думаю;ДУМАТЬ;V ipf praes sg indic - 1p;;;ю;а;м;у;д;;V;ДУМАТЬ;V ipf praes sg indic - 1p
3;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
4;один;ОДИН;NUM - nom sg  m -;;;н;и;д;о;;;A;ОДИН;A - nom sg plen m -
5;великий;ВЕЛИКИЙ;A - nom sg plen m -;;;й;и;к;и;л;е;A;ВЕЛИКИЙ;A - nom sg plen m -
6;человек;ЧЕЛОВЕК;S m anim nom sg;;;к;е;в;о;л;е;S;ЧЕЛОВЕК;S m anim nom sg
7;ам;АМ;NONLEX;;;м;а;;;;;S;АМА;S f anim acc pl
8;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
9;ничего;НИЧЕГО;ADV -;;;о;г;е;ч;и;н;ADV;НИЧЕГО;ADV -
10;просто;ПРОСТО;adV -;;;о;т;с;о;р;п;PART;ПРОСТО;PART
11;так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
12;в;В;PR;;;в;;;;;;PR;В;PR
13;этой;ЭТОТ;APPRO - loc sg  f ;;;й;о;т;э;;;A;ЭТОТ;A - loc sg plen f -
14;жизни;ЖИЗНЬ;S f inan loc sg;;;и;н;з;и;ж;;S;ЖИЗНЬ;S f inan loc sg
15;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
16;получал;ПОЛУЧАТЬ;V ipf praet sg indic m -;;;л;а;ч;у;л;о;V;ПОЛУЧАТЬ;V ipf praet sg indic m -
17;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
18;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
19;каждому;КАЖДЫЙ;SPRO - dat sg m -;;;у;м;о;д;ж;а;A;КАЖДЫЙ;A - dat sg plen m -
20;пришлось;ПРИЙТИСЬ;V pf praet sg indic n -;;;ь;с;о;л;ш;и;V;ПРИДТИСЬ;V pf praet sg indic n -
21;пройти;ПРОЙТИ;V pf - - inf - -;;;и;т;й;о;р;п;V;ПРОЙТИ;V pf - - inf - -
22;огромный;ОГРОМНЫЙ;A - acc sg plen m inan;;;й;ы;н;м;о;р;A;ОГРОМНЫЙ;A - acc sg plen m inan
23;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
24;тяжелый;ТЯЖЕЛЫЙ;A - nom sg plen m -;;;й;ы;л;е;ж;я;A;ТЯЖЕЛЫЙ;A - nom sg plen m -
25;путь;ПУТЬ;S m inan acc sg;;;ь;т;у;п;;;S;ПУТЬ;S m inan nom sg
26;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
27;чтобы;ЧТОБЫ;CONJ;;;ы;б;о;т;ч;;CONJ;ЧТОБЫ;CONJ
28;наконец;НАКОНЕЦ;ADV -;;;ц;е;н;о;к;а;ADV;НАКОНЕЦ;ADV -
29;ээм..;ЭМ;INTJ;раздельно с многоточием;;;;м;э;э;;S;ЭЭМ..;S n inan nonflex nonflex
30;получить;ПОЛУЧИТЬ;V pf - - inf - -;;;ь;т;и;ч;у;л;V;ПОЛУЧИТЬ;V pf - - inf - -
31;то;ТО;SPRO n sg;;;о;т;;;;;S;ТО;S n - acc sg
32;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
33;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
34;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
35;хотел;ХОТЕТЬ;V ipf praet sg indic m -;;;л;е;т;о;х;;V;ХОТЕТЬ;V ipf praet sg indic m -
36;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
37;ведь;ВЕДЬ;CONJ;;;ь;д;е;в;;;PART;ВЕДЬ;PART
38;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
39;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
40;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
41;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
42;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
43;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
44;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
45;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
46;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
47;ничё;НИЧЕГО;ADV -;DISTORT;;ё;ч;и;н;;;S;НИЧ;S m inan loc sg
48;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
49;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
50;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;ничего;НИЧЕГО;ADV -;;;о;г;е;ч;и;н;ADV;НИЧЕГО;ADV -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;достойного;ДОСТОЙНЫЙ;A - gen sg plen m -;;;о;г;о;н;й;о;A;ДОСТОЙНЫЙ;A - gen sg plen m -
2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
3;ни;НИ;PART;;;и;н;;;;;PART;НИ;PART
4;одна;ОДИН;NUM - nom sg plen f -;;;а;н;д;о;;;A;ОДИН;A - nom sg plen f -
5;достойная;ДОСТОЙНЫЙ;A - nom sg plen f -;;;я;а;н;й;о;т;A;ДОСТОЙНЫЙ;A - nom sg plen f -
6;вещь;ВЕЩЬ;S f inan nom sg;;;ь;щ;е;в;;;S;ВЕЩЬ;S f inan nom sg
7;в;В;PR;;;в;;;;;;PR;В;PR
8;этом;ЭТОТ;APPRO - loc sg  m ;;;м;о;т;э;;;A;ЭТОТ;A - loc sg plen m -
9;мире;МИР;S m inan loc sg;;;е;р;и;м;;;S;МИР;S m inan loc sg
10;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
11;может;МОЧЬ;V ipf praes sg indic - 3p;;;т;е;ж;о;м;;V;МОЧЬ;V ipf praes sg indic - 3p
12;легко;ЛЕГКО;ADV -;;;о;к;г;е;л;;ADV;ЛЕГКО;ADV -
13;даваться;ДАВАТЬСЯ;V ipf - - inf - -;;;я;с;ь;т;а;в;V;ДАВАТЬСЯ;V ipf - - inf - -
14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
15;иначе;ИНАЧЕ;CONJ;;;е;ч;а;н;и;;CONJ;ИНАЧЕ;CONJ
16;она;ОНА;SPRO sg 3p f nom;;;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom
17;бы;БЫ;PART;;;ы;б;;;;;PART;БЫ;PART
18;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
19;была;БЫТЬ;V ipf praet sg indic f -;;;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -
20;настолько;НАСТОЛЬКО;ADV -;;;о;к;ь;л;о;т;ADV;НАСТОЛЬКО;ADV -
21;желаемой;ЖЕЛАЕМЫЙ;A - ins sg plen f -;;;й;о;м;е;а;л;A;ЖЕЛАЕМЫЙ;A - gen sg plen f -
22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
23;настолько;НАСТОЛЬКО;ADV -;;;о;к;ь;л;о;т;ADV;НАСТОЛЬКО;ADV -
24;необыкновенной;НЕОБЫКНОВЕННЫЙ;A - ins sg plen f -;;;й;о;н;н;е;в;A;НЕОБЫКНОВЕННЫЙ;A - ins sg plen f -
25;ээ..;Э;NONLEX;раздельно с многоточием;;;;э;э;;;NONLEX;ЭЭ..;NONLEX
26;в;В;PR;;;в;;;;;;PR;В;PR
27;нашем;НАШ;APPRO - loc sg plen n -;;;м;е;ш;а;н;;A;НАШ;A - loc sg plen n -
28;понимании;ПОНИМАНИЕ;S n inan loc sg;;;и;и;н;а;м;и;S;ПОНИМАНИЕ;S n inan loc sg
29;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Всё;ВСЕ;SPRO  - nom sg;;;ё;с;в;;;;S;ВСЕ;S n - nom sg
2;.;.;SENT;;;;;;;;;SENT;.;SENT
